DISTRITO,DISTANCIA,DIRECCION,STRPS
AYT2,0.8,LIBRAMIENTO A ACTOPAN-SAN CAYETANO ,3.4.5.37.38
AYT3,1.57,ENTRADA AL ITESM,1.2.12
AYT4,0.82,NEVADO DEL CHICON-SAN CAYETANO ,19.20.21.22.23.24
AYT5,0.52,PIRULES/30 AMP.SANTA JULIA ,13.14.15.16.17.18
AYT6,0.94,AVE FERROCARRIL CENTRAL/AVE REMATE,7.8.9.10.11
AYT7,0.4,COFRE DE PEROTE/VOLCAN DE PARICUTIN,25.26.27.28.29
AYT8,1.92,PLAZA GALERIAS PACHUCA ,53.54.55.56.57.58.59.60.61.12.63
AYT9,1.93,LIVERPOOL,64
AYT10,1.68,SORINA ,41.42.43.44
AYT11,1.78,CITY CLUB,45
AYT12,2.8,EDIFICIO S C T - DISTRIBUIDOR VIAL ,46.47
AYT13,3,LA MORALEJA ,39.40.48
AYT17,0.81,VOLCAN DEL CHINCHON/VOLCAN PARICUTIN ,71.72.73.74.75.76
AYT18,1.03,VOLCAN DEL CHICHONAL/NEVADO DE CHICON ,65.66.67.68.69.70
AYT1001,0.5,NEVADO DE POPOCATEPETL/BOULEVAR COLOSIO,31.32.33.34.35.36.49.50
TIZ1,0.05,AVE BENITO JUAREZ SUR FTE AL No 17,50.54.55.56.57.109.144
TIZ2,0.17,AVE BENITO JUAREZ/JULIAN VILLAGRAN,34.35.36.95.245.246
TIZ3,1.15,ORIENTE 2 ESQ CARR MEXICO PACHUCA ,1.2.81.120.174
TIZ4,2.46,SUR No. 1   INTER CUENCA LECHERA ,30.31.32.33
TIZ5,2.58,COLINA NORTE/PASEO COLINA OCASO/R. GOMEZ ,27.28
TIZ6,2.67,AND COLINA NORTE No. 1,25.26
TIZ7,1.07,CAMPANA DE ORO    FRAC LAS CAMPANAS ,96.117.175.176.177.178.179
TIZ8,0.04,AVE. BENITO JUAREZ/NIÑOS HEROES ,51.101.102.106.107.108
TIZ9,0.5,AVE. BENITO JUAREZ/JOSE MARIA MORELOS,13.14.15.66.118.185.186
TIZ11,5,AVE. 16 DE ENERO/PRIV. 16 DE ENERO     HUITZILA,8.9
TIZ12,0.57,AVE. BENITO JUAREZ FTE. AL No. 31-A,40.41.42.105.255.256
TIZ14,1.28,LIRIO/BUGANBILIA     NUEVO TIZAYUCA,17.18.69.84.112.165.166.167.168
TIZ15,1.38,LIRIO FTE. AL No. 45    NUEVO TIZAYUCA ,6.16.67.68.82.110.157.158.159.160
TIZ16,1.69,LIRIO/ZEMPAZUCHIL    NUEVO TIZAYUCA,58.59.60.77.150.151.152
TIZ17,2,CRISANTEMO/CLAVEL    NUEVO TIZAYUCA ,61.62.63.148.149
TIZ18,0.45,JULIAN VILLAGRAN,23.24.89.90.137.138.224
TIZ19,2.89,24 DE FEBRERO/AMPARO ESCALANTE  L. MATEOS,75.76
TIZ20,2,SUR 4/ORIENTE 3    ZONA INDUSTRIAL,3.37.172
TIZ21,1.44,ORIENTE 2/LADO INFRA,38.39.119.173
TIZ22,2.8,MITLA/PALENQUE    UNIDAD CTM,85.86.87
TIZ23,1.31,LIRIO/GARDENIA    NUEVO TIZAYUCA ,64.65.83.111.163.164
TIZ24,1.51,LIRIO/AZAHAR    NUEVO TIZAYUCA,70.71.153.154.155.156
TIZ25,0.48,ALLENDE/ALVARO OBREGON ,29.91.92.139.140.237
TIZ26,0.59,ALLENDE/MIGUEL HIDALGO,49.52.53.142.143
TIZ27,0.56,5 DE MAYO/CAMPO DEPORTIVO/B. EL PEDREGAL,46.47.48.97.98.100.264
TIZ28,0.95,5 DE MAYO/SANTO DEGOLLADO    EL PEDREGAL,43.44.45.103.104.141
TIZ30,2.24,CRISANTEMO/JACARANDA    NUEVO TIZAYUCA ,78.79.80.145.146.147
TIZ31,2.26,GEO VILLAS,113.114.133.272.273.274.275.276
TIZ34,2.96,GEO VILLAS,115.116.134.169.170.171.271
TIZ35,1.24,CIRCUITO ARBOLEDAS    SAN ANTONIO ,197.198.199.200.201.202.203
TIZ36,2.41,CIRCUITO EL SITIO    EL SITIO ,135.136
TIZ37,2.59,AVE. MINERALES/CIRCON     U  HAB. TIZAYUCA,121.130.131.132
TIZ38,2.93,AVE. MARMOLES/AMPLIACION NUEVO TIZAYUCA ,7.128.129
TIZ40,0.91,CAM. A SAN BARTOLO,180.181.182.183.184
TIZ41,0.52,EJERCITO MEXICANO,204.205.206.207.208.209.210
TIZ42,1.06,ADOLFO LOPEZ MATEOS/JULA VILLAGRAN ,238.239.240.241.242.243
TIZ43,1.09,AVE. MORELOS/CDA HUMBOLT,231.232.233.234.235.236
TIZ44,1.1,EMILIO HERNANDEZ ,257.258.259.260.261.262.263
TIZ45,1.12,AVE. HIDALGO/RAYON,217.218.219.220.221.222
TIZ46,1.19,ROJO LUGO/SOR JUANA INES DE LA CRUZ ,254.265.266.267.268.269.270
TIZ47,1.42,AVE. HIDALGO/AVE. MORELOS ,211.212.213.214.215.216
TIZ48,1.52,CTO. ARBOLEDAS/CIENEGA,190.191.192.193.194.195.196
TIZ49,1.8,CALZ CLAVELES/1A CDA HUMBOLT,227.228.229
TIZ50,2.1,FRANCISCO VILLA/EJIDO,247.248.249.250.251.252.253
TIZ51,2.2,BARRIO ATEMPA,223.225.226
TIZ1052,0.5,,125.126
